currently training with train and validation sets of size: 4500 (total len: 40305 ), 250 (total len: 2464 ), respectively
training rnn: LSTM
best validation loss is: 1.3437 (e^loss = 3.8332 )
best train loss is: inf (e^loss = inf )
learning rate 1 of 9 ( 0.01 ), iteration 1 of 10 , batch 1 of 45 finished, that took: 0.828
learning rate 5 of 9 ( 0.002 ), iteration 2 of 10 , batch 20 of 45 finished, that took: 1.016
learning rate 5 of 9 ( 0.002 ), iteration 2 of 10 , batch 21 of 45 finished, that took: 0.875
learning rate 5 of 9 ( 0.002 ), iteration 2 of 10 , batch 22 of 45 finished, that took: 0.984
learning rate 5 of 9 ( 0.002 ), iteration 2 of 10 , batch 23 of 45 finished, that took: 1.062
learning rate 5 of 9 ( 0.002 ), iteration 2 of 10 , batch 24 of 45 finished, that took: 0.938
learning rate 5 of 9 ( 0.002 ), iteration 2 of 10 , batch 25 of 45 finished, that took: 1.094
learning rate 5 of 9 ( 0.002 ), iteration 2 of 10 , batch 26 of 45 finished, that took: 0.656
learning rate 5 of 9 ( 0.002 ), iteration 2 of 10 , batch 27 of 45 finished, that took: 1.094
learning rate 5 of 9 ( 0.002 ), iteration 2 of 10 , batch 28 of 45 finished, that took: 1.203
learning rate 5 of 9 ( 0.002 ), iteration 2 of 10 , batch 29 of 45 finished, that took: 1.047
learning rate 5 of 9 ( 0.002 ), iteration 2 of 10 , batch 30 of 45 finished, that took: 0.906
learning rate 5 of 9 ( 0.002 ), iteration 2 of 10 , batch 31 of 45 finished, that took: 0.828
learning rate 5 of 9 ( 0.002 ), iteration 2 of 10 , batch 32 of 45 finished, that took: 1.234
learning rate 5 of 9 ( 0.002 ), iteration 2 of 10 , batch 33 of 45 finished, that took: 0.547
learning rate 5 of 9 ( 0.002 ), iteration 2 of 10 , batch 34 of 45 finished, that took: 1.156
learning rate 5 of 9 ( 0.002 ), iteration 2 of 10 , batch 35 of 45 finished, that took: 0.906
learning rate 5 of 9 ( 0.002 ), iteration 2 of 10 , batch 36 of 45 finished, that took: 0.984
learning rate 5 of 9 ( 0.002 ), iteration 2 of 10 , batch 37 of 45 finished, that took: 1.094
learning rate 5 of 9 ( 0.002 ), iteration 2 of 10 , batch 38 of 45 finished, that took: 1.078
learning rate 5 of 9 ( 0.002 ), iteration 2 of 10 , batch 39 of 45 finished, that took: 0.984
learning rate 5 of 9 ( 0.002 ), iteration 2 of 10 , batch 40 of 45 finished, that took: 0.938
learning rate 5 of 9 ( 0.002 ), iteration 2 of 10 , batch 41 of 45 finished, that took: 0.969
learning rate 5 of 9 ( 0.002 ), iteration 2 of 10 , batch 42 of 45 finished, that took: 0.844
learning rate 5 of 9 ( 0.002 ), iteration 2 of 10 , batch 43 of 45 finished, that took: 0.844
learning rate 5 of 9 ( 0.002 ), iteration 2 of 10 , batch 44 of 45 finished, that took: 1.094
learning rate 5 of 9 ( 0.002 ), iteration 2 of 10 , batch 45 of 45 finished, that took: 0.812
☹☹ validation and train not improved here ☹☹ new validation loss: 0.7073 (e^loss = 2.0286 ) , new train loss: 0 (e^loss = 1.0 )
validation stopped improving ( 2 iters without improvement), reverting to best by validation loss
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 1 of 45 finished, that took: 0.641
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 2 of 45 finished, that took: 0.938
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 3 of 45 finished, that took: 0.844
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 4 of 45 finished, that took: 0.984
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 5 of 45 finished, that took: 1.125
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 6 of 45 finished, that took: 0.734
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 7 of 45 finished, that took: 0.906
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 8 of 45 finished, that took: 0.844
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 9 of 45 finished, that took: 1.156
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 10 of 45 finished, that took: 0.859
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 11 of 45 finished, that took: 1.031
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 12 of 45 finished, that took: 0.703
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 13 of 45 finished, that took: 0.703
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 14 of 45 finished, that took: 1.203
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 15 of 45 finished, that took: 1.062
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 16 of 45 finished, that took: 0.938
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 17 of 45 finished, that took: 1.062
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 18 of 45 finished, that took: 1.0
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 19 of 45 finished, that took: 0.906
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 20 of 45 finished, that took: 0.922
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 21 of 45 finished, that took: 0.875
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 22 of 45 finished, that took: 0.906
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 23 of 45 finished, that took: 0.75
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 24 of 45 finished, that took: 0.953
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 25 of 45 finished, that took: 0.812
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 26 of 45 finished, that took: 0.922
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 27 of 45 finished, that took: 1.078
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 28 of 45 finished, that took: 0.953
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 29 of 45 finished, that took: 1.125
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 30 of 45 finished, that took: 0.891
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 31 of 45 finished, that took: 0.656
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 32 of 45 finished, that took: 0.906
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 33 of 45 finished, that took: 1.156
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 34 of 45 finished, that took: 0.828
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 35 of 45 finished, that took: 0.859
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 36 of 45 finished, that took: 0.969
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 37 of 45 finished, that took: 0.75
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 38 of 45 finished, that took: 0.672
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 39 of 45 finished, that took: 1.016
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 40 of 45 finished, that took: 1.094
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 41 of 45 finished, that took: 0.891
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 42 of 45 finished, that took: 0.875
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 43 of 45 finished, that took: 0.922
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 44 of 45 finished, that took: 0.859
learning rate 6 of 9 ( 0.001 ), iteration 1 of 10 , batch 45 of 45 finished, that took: 0.922
☹☹ validation and train not improved here ☹☹ new validation loss: 0.7073 (e^loss = 2.0284 ) , new train loss: 0 (e^loss = 1.0 )
time since start: 883.640625
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 1 of 45 finished, that took: 0.656
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 2 of 45 finished, that took: 1.0
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 3 of 45 finished, that took: 0.875
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 4 of 45 finished, that took: 0.719
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 5 of 45 finished, that took: 0.859
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 6 of 45 finished, that took: 0.844
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 7 of 45 finished, that took: 0.812
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 8 of 45 finished, that took: 0.984
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 9 of 45 finished, that took: 0.859
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 10 of 45 finished, that took: 0.984
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 11 of 45 finished, that took: 0.859
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 12 of 45 finished, that took: 0.859
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 13 of 45 finished, that took: 0.938
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 14 of 45 finished, that took: 1.078
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 15 of 45 finished, that took: 0.984
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 16 of 45 finished, that took: 0.859
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 17 of 45 finished, that took: 0.953
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 18 of 45 finished, that took: 0.938
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 19 of 45 finished, that took: 1.047
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 20 of 45 finished, that took: 0.953
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 21 of 45 finished, that took: 0.812
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 22 of 45 finished, that took: 1.141
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 23 of 45 finished, that took: 1.078
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 24 of 45 finished, that took: 0.922
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 25 of 45 finished, that took: 0.953
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 26 of 45 finished, that took: 1.078
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 27 of 45 finished, that took: 1.047
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 28 of 45 finished, that took: 1.047
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 29 of 45 finished, that took: 0.797
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 30 of 45 finished, that took: 0.531
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 31 of 45 finished, that took: 1.078
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 32 of 45 finished, that took: 0.75
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 33 of 45 finished, that took: 1.078
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 34 of 45 finished, that took: 0.953
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 35 of 45 finished, that took: 0.703
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 36 of 45 finished, that took: 1.141
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 37 of 45 finished, that took: 1.172
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 38 of 45 finished, that took: 0.922
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 39 of 45 finished, that took: 0.953
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 40 of 45 finished, that took: 1.094
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 41 of 45 finished, that took: 0.922
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 42 of 45 finished, that took: 1.031
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 43 of 45 finished, that took: 1.0
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 44 of 45 finished, that took: 0.875
learning rate 6 of 9 ( 0.001 ), iteration 2 of 10 , batch 45 of 45 finished, that took: 1.188
☹☹ validation and train not improved here ☹☹ new validation loss: 0.7064 (e^loss = 2.0267 ) , new train loss: 0 (e^loss = 1.0 )
validation stopped improving ( 2 iters without improvement), reverting to best by validation loss
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 1 of 45 finished, that took: 0.594
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 2 of 45 finished, that took: 1.031
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 3 of 45 finished, that took: 0.812
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 4 of 45 finished, that took: 1.094
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 5 of 45 finished, that took: 0.969
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 6 of 45 finished, that took: 0.812
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 7 of 45 finished, that took: 1.047
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 8 of 45 finished, that took: 0.844
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 9 of 45 finished, that took: 0.969
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 10 of 45 finished, that took: 1.062
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 11 of 45 finished, that took: 0.812
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 12 of 45 finished, that took: 0.906
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 13 of 45 finished, that took: 0.875
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 14 of 45 finished, that took: 1.141
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 15 of 45 finished, that took: 1.047
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 16 of 45 finished, that took: 0.875
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 17 of 45 finished, that took: 0.766
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 18 of 45 finished, that took: 0.953
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 19 of 45 finished, that took: 0.812
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 20 of 45 finished, that took: 0.906
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 21 of 45 finished, that took: 1.094
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 22 of 45 finished, that took: 1.047
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 23 of 45 finished, that took: 0.844
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 24 of 45 finished, that took: 1.031
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 25 of 45 finished, that took: 0.906
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 26 of 45 finished, that took: 1.062
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 27 of 45 finished, that took: 0.875
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 28 of 45 finished, that took: 1.125
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 29 of 45 finished, that took: 0.766
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 30 of 45 finished, that took: 0.844
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 31 of 45 finished, that took: 0.984
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 32 of 45 finished, that took: 0.844
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 33 of 45 finished, that took: 1.281
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 34 of 45 finished, that took: 0.859
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 35 of 45 finished, that took: 1.094
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 36 of 45 finished, that took: 0.656
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 37 of 45 finished, that took: 0.797
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 38 of 45 finished, that took: 0.969
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 39 of 45 finished, that took: 0.953
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 40 of 45 finished, that took: 1.016
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 41 of 45 finished, that took: 0.703
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 42 of 45 finished, that took: 0.578
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 43 of 45 finished, that took: 1.078
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 44 of 45 finished, that took: 1.203
learning rate 7 of 9 ( 0.0005 ), iteration 1 of 10 , batch 45 of 45 finished, that took: 0.875
☹☹ validation and train not improved here ☹☹ new validation loss: 0.707 (e^loss = 2.0279 ) , new train loss: 0 (e^loss = 1.0 )
time since start: 978.765625
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 1 of 45 finished, that took: 0.406
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 2 of 45 finished, that took: 1.016
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 3 of 45 finished, that took: 0.875
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 4 of 45 finished, that took: 1.078
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 5 of 45 finished, that took: 1.078
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 6 of 45 finished, that took: 1.031
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 7 of 45 finished, that took: 1.094
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 8 of 45 finished, that took: 1.016
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 9 of 45 finished, that took: 0.734
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 10 of 45 finished, that took: 0.906
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 11 of 45 finished, that took: 0.875
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 12 of 45 finished, that took: 0.688
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 13 of 45 finished, that took: 1.141
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 14 of 45 finished, that took: 1.141
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 15 of 45 finished, that took: 0.953
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 16 of 45 finished, that took: 0.938
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 17 of 45 finished, that took: 0.797
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 18 of 45 finished, that took: 0.828
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 19 of 45 finished, that took: 0.844
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 20 of 45 finished, that took: 0.969
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 21 of 45 finished, that took: 1.094
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 22 of 45 finished, that took: 0.766
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 23 of 45 finished, that took: 0.781
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 24 of 45 finished, that took: 0.781
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 25 of 45 finished, that took: 0.875
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 26 of 45 finished, that took: 0.75
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 27 of 45 finished, that took: 0.875
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 28 of 45 finished, that took: 0.906
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 29 of 45 finished, that took: 0.859
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 30 of 45 finished, that took: 0.969
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 31 of 45 finished, that took: 1.234
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 32 of 45 finished, that took: 1.141
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 33 of 45 finished, that took: 0.828
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 34 of 45 finished, that took: 0.875
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 35 of 45 finished, that took: 0.938
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 36 of 45 finished, that took: 1.125
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 37 of 45 finished, that took: 1.188
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 38 of 45 finished, that took: 0.953
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 39 of 45 finished, that took: 0.875
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 40 of 45 finished, that took: 0.812
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 41 of 45 finished, that took: 0.984
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 42 of 45 finished, that took: 0.922
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 43 of 45 finished, that took: 0.828
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 44 of 45 finished, that took: 0.688
learning rate 7 of 9 ( 0.0005 ), iteration 2 of 10 , batch 45 of 45 finished, that took: 0.828
☹☹ validation and train not improved here ☹☹ new validation loss: 0.7067 (e^loss = 2.0273 ) , new train loss: 0 (e^loss = 1.0 )
validation stopped improving ( 2 iters without improvement), reverting to best by validation loss
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 1 of 45 finished, that took: 0.797
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 2 of 45 finished, that took: 1.078
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 3 of 45 finished, that took: 0.844
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 4 of 45 finished, that took: 0.969
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 5 of 45 finished, that took: 0.844
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 6 of 45 finished, that took: 0.969
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 7 of 45 finished, that took: 1.047
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 8 of 45 finished, that took: 1.078
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 9 of 45 finished, that took: 0.938
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 10 of 45 finished, that took: 0.844
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 11 of 45 finished, that took: 0.938
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 12 of 45 finished, that took: 0.875
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 13 of 45 finished, that took: 0.75
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 14 of 45 finished, that took: 0.859
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 15 of 45 finished, that took: 0.859
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 16 of 45 finished, that took: 1.031
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 17 of 45 finished, that took: 0.766
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 18 of 45 finished, that took: 1.016
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 19 of 45 finished, that took: 0.906
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 20 of 45 finished, that took: 0.953
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 21 of 45 finished, that took: 0.969
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 22 of 45 finished, that took: 1.031
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 23 of 45 finished, that took: 1.062
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 24 of 45 finished, that took: 0.969
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 25 of 45 finished, that took: 0.828
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 26 of 45 finished, that took: 1.078
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 27 of 45 finished, that took: 0.969
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 28 of 45 finished, that took: 0.828
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 29 of 45 finished, that took: 0.891
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 30 of 45 finished, that took: 0.703
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 31 of 45 finished, that took: 1.141
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 32 of 45 finished, that took: 0.938
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 33 of 45 finished, that took: 0.75
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 34 of 45 finished, that took: 1.156
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 35 of 45 finished, that took: 1.016
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 36 of 45 finished, that took: 0.953
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 37 of 45 finished, that took: 1.062
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 38 of 45 finished, that took: 0.953
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 39 of 45 finished, that took: 0.953
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 40 of 45 finished, that took: 0.953
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 41 of 45 finished, that took: 1.0
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 42 of 45 finished, that took: 0.812
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 43 of 45 finished, that took: 0.734
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 44 of 45 finished, that took: 1.031
learning rate 8 of 9 ( 0.0001 ), iteration 1 of 10 , batch 45 of 45 finished, that took: 0.812
☹☹ validation and train not improved here ☹☹ new validation loss: 0.707 (e^loss = 2.0279 ) , new train loss: 0 (e^loss = 1.0 )
time since start: 1071.9375
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 1 of 45 finished, that took: 0.719
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 2 of 45 finished, that took: 0.969
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 3 of 45 finished, that took: 0.906
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 4 of 45 finished, that took: 1.047
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 5 of 45 finished, that took: 0.75
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 6 of 45 finished, that took: 0.578
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 7 of 45 finished, that took: 0.922
